""," team_name"," game_date","    season","    period","minutes_remaining","seconds_remaining","shot_made_flag","action_type"," shot_type","shot_distance","  opponent","      x","      y"
"","Length:1250       ","Length:1250       ","Min.   :2016  ","Min.   :1.000  ","Min.   : 0.000  ","Min.   : 0.00  ","Length:1250       ","Length:1250       ","Length:1250       ","Min.   : 0.00  ","Length:1250       ","Min.   :-246.000  ","Min.   :-36.0  "
"","Class :character  ","Class :character  ","1st Qu.:2016  ","1st Qu.:1.000  ","1st Qu.: 1.000  ","1st Qu.:13.00  ","Class :character  ","Class :character  ","Class :character  ","1st Qu.: 5.00  ","Class :character  ","1st Qu.: -96.500  ","1st Qu.: 18.0  "
"","Mode  :character  ","Mode  :character  ","Median :2016  ","Median :2.000  ","Median : 4.000  ","Median :29.00  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Median :23.00  ","Mode  :character  ","Median :   0.500  ","Median :144.0  "
"",NA,NA,"Mean   :2016  ","Mean   :2.305  ","Mean   : 4.221  ","Mean   :28.53  ",NA,NA,NA,"Mean   :17.99  ",NA,"Mean   :  -3.642  ","Mean   :135.4  "
"",NA,NA,"3rd Qu.:2016  ","3rd Qu.:3.000  ","3rd Qu.: 7.000  ","3rd Qu.:44.00  ",NA,NA,NA,"3rd Qu.:26.00  ",NA,"3rd Qu.:  91.000  ","3rd Qu.:228.0  "
"",NA,NA,"Max.   :2016  ","Max.   :4.000  ","Max.   :11.000  ","Max.   :59.00  ",NA,NA,NA,"Max.   :71.00  ",NA,"Max.   : 240.000  ","Max.   :717.0  "
"","Length:578        ","Length:578        ","Min.   :2016  ","Min.   :1.000  ","Min.   : 0.000  ","Min.   : 0.00  ","Length:578        ","Length:578        ","Length:578        ","Min.   : 0.00  ","Length:578        ","Min.   :-248.00  ","Min.   :-31.0  "
"","Class :character  ","Class :character  ","1st Qu.:2016  ","1st Qu.:1.000  ","1st Qu.: 2.000  ","1st Qu.:15.25  ","Class :character  ","Class :character  ","Class :character  ","1st Qu.: 1.00  ","Class :character  ","1st Qu.: -27.00  ","1st Qu.:  8.0  "
"","Mode  :character  ","Mode  :character  ","Median :2016  ","Median :2.000  ","Median : 6.000  ","Median :31.00  ","Mode  :character  ","Mode  :character  ","Mode  :character  ","Median : 6.00  ","Mode  :character  ","Median :   0.00  ","Median : 36.0  "
"",NA,NA,"Mean   :2016  ","Mean   :2.327  ","Mean   : 5.536  ","Mean   :29.59  ",NA,NA,NA,"Mean   :12.17  ",NA,"Mean   :  -7.17  ","Mean   :100.6  "
